Player,Pos,G,A,PIM,PPG,SHG,GWG,PP,SH,SOG,FOW,FOL,BLK,HIT,-9999
Mavrik Bourque,C,11,14,8,1,0,1,2,0,80,161,187,37,46,bourqma01
Ryker Evans,D,5,20,30,1,0,0,2,0,59,0,0,106,123,evansry01
Martin Fehérváry,D,5,20,25,0,0,0,0,2,76,0,0,150,139,feherma01
Miro Heiskanen,D,5,20,10,0,0,0,7,0,108,0,0,85,17,heiskmi01
Nils Höglander,LW,8,17,30,0,0,2,1,0,83,0,1,23,76,hoglani01
Brett Kulak,D,7,18,18,0,0,0,0,0,135,0,0,118,28,kulakbr01
Martin Pospisil,C,4,21,84,1,0,0,3,0,114,71,103,26,301,pospima01
Damon Severson,D,6,19,47,0,0,1,0,0,91,0,0,104,43,severda01
Sam Steel,C,6,19,31,0,1,1,0,2,89,214,186,26,60,steelsa01
Alex Turcotte,C,9,16,20,1,0,2,0,0,79,55,66,30,46,turcoal02
Anthony Beauvillier,LW,15,10,14,0,1,0,1,0,149,11,13,36,139,beauvan01
Anthony Beauvillier,LW,13,7,14,0,1,0,1,0,120,4,7,26,108,beauvan01
Anthony Beauvillier,LW,2,3,0,0,0,0,0,0,29,7,6,10,31,beauvan01
Joel Farabee,LW,11,14,34,0,0,1,4,0,151,18,31,50,94,farabjo01
Joel Farabee,LW,8,11,26,0,0,0,3,0,99,11,25,34,55,farabjo01
Joel Farabee,LW,3,3,8,0,0,1,1,0,52,7,6,16,39,farabjo01
Alexandre Carrier,D,3,22,40,0,0,0,0,1,82,0,0,169,75,carrial01
Alexandre Carrier,D,1,6,12,0,0,0,0,1,23,0,0,49,31,carrial01
Alexandre Carrier,D,2,16,28,0,0,0,0,0,59,0,0,120,44,carrial01
Drew O'Connor,F,10,15,34,1,1,2,1,1,117,48,67,57,83,oconndr01
Drew O'Connor,F,6,10,16,1,1,1,1,0,82,38,54,40,51,oconndr01
Drew O'Connor,F,4,5,18,0,0,1,0,1,35,10,13,17,32,oconndr01
Michael Anderson,D,6,18,28,0,0,0,0,0,84,0,0,124,119,andermi02
Jonatan Berggren,RW,12,12,14,3,0,1,2,0,88,5,12,16,41,berggjo02
Samuel Girard,D,3,21,14,0,0,2,1,0,95,0,0,111,62,girarsa01
Jiri Kulich,C,15,9,18,0,0,3,0,0,134,254,304,36,40,kulicji01
Eetu Luostarinen,C,9,15,28,0,1,3,1,1,87,33,40,60,183,luostee01
Tyler Myers,D,6,18,74,0,1,0,1,1,87,0,0,125,87,myersty01
Vasily Podkolzin,RW,8,16,48,0,0,2,0,0,114,14,43,53,211,podkova01
Matt Roy,D,3,21,25,0,0,0,0,0,84,0,0,113,114,royma04
Philip Tomasino,C,11,13,8,3,0,6,5,0,104,5,12,23,63,tomasph01
Philip Tomasino,C,0,1,0,0,0,0,0,0,17,4,4,3,10,tomasph01
Philip Tomasino,C,11,12,8,3,0,6,5,0,87,1,8,20,53,tomasph01
Cody Ceci,D,4,20,24,0,0,2,0,1,90,0,0,155,76,cecico01
Cody Ceci,D,4,11,14,0,0,2,0,0,60,0,0,100,52,cecico01
Cody Ceci,D,0,9,10,0,0,0,0,1,30,0,0,55,24,cecico01
Jesper Boqvist,C,12,11,14,0,1,3,0,0,87,71,97,27,191,boqvije01
Andrew Copp,C,10,13,8,0,1,2,1,0,68,318,309,35,9,coppan01
Kevin Hayes,RW,13,10,8,4,0,1,3,1,98,237,217,11,52,hayeske01
Joel Kiviranta,F,16,7,20,0,1,2,0,0,84,23,25,38,114,kivirjo01
Charlie McAvoy,D,7,16,46,2,1,2,2,0,98,0,0,81,89,mcavoch01
Jake McCabe,D,2,21,40,0,0,0,0,1,74,0,0,135,118,mccabja01
Ryan Pulock,D,5,18,16,1,0,1,1,2,97,0,0,155,100,pulocry01
Mason Appleton,C,10,12,22,0,0,3,1,0,107,10,12,29,76,applema01
Paul Cotter,C,16,6,62,0,0,2,0,0,90,41,37,32,245,cottepa01
Kirby Dach,C,10,12,40,1,0,2,6,0,84,96,142,36,100,dachki01
Niko Mikkola,D,6,16,70,0,0,0,0,0,116,0,0,88,137,mikkoni01
Thomas Novak,C,13,9,4,1,0,2,4,0,92,94,126,26,6,novakth01
Thomas Novak,C,13,9,4,1,0,2,4,0,88,92,122,21,6,novakth01
Thomas Novak,C,0,0,0,0,0,0,0,0,4,2,4,5,0,novakth01
Lukas Reichel,LW,8,14,12,0,0,1,2,0,72,142,214,29,24,reichlu01
Nicholas Robertson,LW,15,7,16,2,0,3,0,0,112,3,4,33,79,roberni01
Nikita Zadorov,D,4,18,145,0,0,0,0,2,105,0,0,107,219,zadorni01
Justin Brazeau,F,11,11,18,4,0,3,1,0,89,3,10,38,123,brazeju01
Justin Brazeau,F,10,10,16,4,0,2,1,0,78,3,10,26,89,brazeju01
Justin Brazeau,F,1,1,2,0,0,1,0,0,11,0,0,12,34,brazeju01
Ryan Lindgren,D,4,18,40,0,0,0,0,2,63,0,0,128,80,lindgry01
Ryan Lindgren,D,2,17,36,0,0,0,0,2,42,0,0,102,59,lindgry01
Ryan Lindgren,D,2,1,4,0,0,0,0,0,21,0,0,26,21,lindgry01
Brandon Tanev,LW,10,12,16,0,0,0,0,0,99,7,24,105,168,tanevbr01
Brandon Tanev,LW,9,8,10,0,0,0,0,0,85,7,20,91,122,tanevbr01
Brandon Tanev,LW,1,4,6,0,0,0,0,0,14,0,4,14,46,tanevbr01
Brian Dumoulin,D,3,19,14,0,0,1,0,0,69,0,0,109,74,dumoubr01
Brian Dumoulin,D,2,14,10,0,0,0,0,0,57,0,0,91,60,dumoubr01
Brian Dumoulin,D,1,5,4,0,0,1,0,0,12,0,0,18,14,dumoubr01
Lars Eller,C,10,12,36,0,0,0,1,0,104,392,359,35,57,ellerla01
Lars Eller,C,4,3,10,0,0,0,0,0,27,103,81,9,17,ellerla01
Lars Eller,C,6,9,26,0,0,0,1,0,77,289,278,26,40,ellerla01
Cody Glass,C,6,16,16,1,0,1,1,0,91,242,231,38,53,glassco01
Cody Glass,C,4,11,12,1,0,1,1,0,78,178,160,31,43,glassco01
Cody Glass,C,2,5,4,0,0,0,0,0,13,64,71,7,10,glassco01
Erik Černák,D,3,18,50,0,0,0,0,2,64,0,0,99,157,cernaer01
Justin Danforth,RW,9,12,18,0,1,1,1,0,94,327,334,49,126,danfoju01
Brandon Duhaime,RW,9,12,98,0,0,1,0,1,83,18,25,65,165,duhaibr01
Garnet Hathaway,RW,10,11,58,0,2,1,0,0,80,7,12,61,257,hathaga01
Erik Haula,LW,11,10,39,2,0,1,3,0,110,378,341,35,101,haulaer01
Nick Jensen,D,3,18,6,0,0,0,0,0,77,0,0,95,55,jenseni02
Jacob Middleton,D,8,13,40,0,0,0,0,0,97,0,0,157,99,middlja01
Logan O'Connor,RW,10,11,26,0,0,1,0,1,89,27,43,50,68,oconnlo01
Adam Pelech,D,0,21,32,0,0,0,1,0,109,0,0,87,73,pelecad01
Michael Rasmussen,C,11,10,24,2,0,1,2,0,99,91,105,59,141,rasmumi01
Braden Schneider,D,6,15,18,0,1,1,0,1,95,0,0,145,146,schnebr01
Tyler Seguin,C,9,12,4,3,0,2,0,0,46,92,82,6,5,seguity01
Colton Sissons,C,7,14,22,0,0,0,1,0,80,342,282,67,100,sissoco01
Trevor van Riemsdyk,D,1,20,34,0,0,0,0,0,80,0,0,151,10,vanritr01
Kevin Bahl,D,3,17,35,1,0,0,0,0,82,0,0,116,109,bahlke01
Mathew Barzal,C,6,14,4,1,0,1,3,0,78,22,30,24,24,barzama01
Jonas Brodin,D,4,16,18,0,0,1,0,1,71,0,0,104,27,brodijo01
Sam Carrick,C,6,14,58,0,1,2,0,2,84,375,317,42,137,carrisa01
Jamie Drysdale,D,7,13,22,2,0,1,5,0,63,0,0,102,18,drysdja01
Joel Edmundson,D,6,14,22,0,0,1,1,0,91,0,0,108,100,edmunjo01
Gage Goncalves,C,8,12,14,1,0,1,1,0,61,3,3,20,71,goncaga01
Blake Lizotte,C,11,9,26,1,1,1,0,0,51,177,169,29,60,lizotbl01
Brayden McNabb,D,5,15,32,0,1,0,0,1,97,0,0,167,131,mcnabbr01
Alexander Romanov,D,4,16,20,0,0,0,0,1,100,0,0,165,147,romanal01
Dylan Samberg,D,6,14,26,0,0,2,1,0,95,0,0,120,56,sambedy01
Nick Seeler,D,3,17,36,0,0,1,0,0,82,0,0,200,125,seeleni01
Oskar Sundqvist,C,6,14,32,4,0,0,3,0,60,260,312,53,78,sundqos01
Olen Zellweger,D,7,13,20,1,0,0,4,0,130,0,0,72,37,zellwol01
Nikolai Kovalenko,RW,7,13,16,3,0,0,1,0,45,2,7,24,84,kovalni01
